Ref,Surveillance Type,Tower Name,Current Tower Type,Tower Subcategory,State of Tower,Sector,State of Sector,Sector Acronym,Station/AOR,Vendor,Notes,Latitude,Longitude,Google Satellite,Bing Aerial,Arcgis,Streetview,Photo Evidence,Source Doc,Source Doc 2,Source Doc 3,Source Doc 4,,,,,,,,,,,,,,,,,,
Tower001,Tower,BRP Customs B&M,Remote Video Surveillance System (RVSS),Relocatable Tower,Texas,Rio Grande Valley Sector,Texas,RGV,Brownsville Station,General Dynamics,,25.893899,-97.504345,,https://www.bing.com/maps?osid=d7d91a4e-0d9a-430a-8016-3c7c1fe2aa88&cp=25.893976~-97.505014&lvl=19&style=h&v=2&sV=2&form=S00027,,,,https://www.documentcloud.org/documents/23272022-final_ea_brp_ftb_hrl_flf_kin_rvss_part2#document/p77,https://www.documentcloud.org/documents/23272021-final_ea_brp_ftb_hrl_flf_kin_rvss_part1,,,,,,,,,,,,,,,,,,,,
Tower002,Tower,BRP Mulberry,Remote Video Surveillance System (RVSS),Relocatable Tower,Texas,Rio Grande Valley Sector,Texas,RGV,Brownsville Station,General Dynamics,,25.968075,-97.599319,https://maps.app.goo.gl/LWADPprHt7P8CzEz9,https://www.bing.com/maps?osid=b7c86f97-dec7-4f27-924a-432e25bd6043&cp=25.968151~-97.599985&lvl=19&style=h&v=2&sV=2&form=S00027,,https://maps.app.goo.gl/Tyubfy7ZLZwPANCE7,,https://www.documentcloud.org/documents/23272021-final_ea_brp_ftb_hrl_flf_kin_rvss_part1,https://www.documentcloud.org/documents/23255060-final_ea_rgc_wes_mca_rvss_111716_part1,https://www.documentcloud.org/documents/23272022-final_ea_brp_ftb_hrl_flf_kin_rvss_part2,,,,,,,,,,,,,,,,,,,
Tower003,Tower,Unknown,Integrated Fixed Tower (IFT),,Arizona,Tucson Sector,Arizona,TCA,Casa Grande Station,Elbit Systems,,32.13328,-112.15897,https://goo.gl/maps/A9uZfvjKj4e4YdC17,https://www.bing.com/maps?osid=f058ff25-a217-45e4-8935-2cc46327342a&cp=32.133196~-112.159043&lvl=20.44046&style=a&pi=0&v=2&sV=2&form=S00027,,"https://www.google.com/maps/@32.1449629,-112.1011572,3a,15y,257.18h,94.61t/data=!3m9!1e1!3m7!1sjeO9p1MZUED8TQDkwEavIQ!2e0!7i16384!8i8192!9m2!1b1!2i18",,https://www.documentcloud.org/documents/22272736-ton-ift-ea-final-part-ii-03-28-2017-add,,,,,,,,,,,,,,,,,,,,,
Tower004,Tower,CAG-Tower-1/Trading Post and 2 Mile Drag,Integrated Fixed Tower (IFT),,Arizona,Tucson Sector,Arizona,TCA,Casa Grande Station,Elbit Systems,,31.572975,-111.685136,https://maps.app.goo.gl/QWVaYAEx13YLhXZw9,https://www.bing.com/maps?osid=5427c0bc-5882-40c7-87e2-ca619356c7fc&cp=31.57356~-111.685529&lvl=19&style=h&v=2&sV=2&form=S00027,,,,https://www.documentcloud.org/documents/22272736-ton-ift-ea-final-part-ii-03-28-2017-add,,,,,,,,,,,,,,,,,,,,,
Tower005,Tower,DRT-DRS-02 Upper Weir2,Remote Video Surveillance System (RVSS),Monopole Tower,Texas,Del Rio Sector,Texas,DRT,Del Rio Station,General Dynamics,,29.42519,-101.04079,https://goo.gl/maps/ZDv3XtrUGsNowvsD7,,,,,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,,,,,,,,,,,,,,,,,,,,,
Tower006,Tower,DRT-DRS-06 Lower Weir Dam2,Remote Video Surveillance System (RVSS),Monopole Tower,Texas,Del Rio Sector,Texas,DRT,Del Rio Station,,Legacy Remote Viewing Site ,29.32899,-100.93011,https://goo.gl/maps/gPuVZ9Hn1i48mJ2s9,,,"https://www.google.com/maps/@29.326617,-100.9278705,3a,27.6y,325.79h,92.46t/data=!3m7!1e1!3m5!1s43bkItoi1ZcUbuDtDmugng!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D43bkItoi1ZcUbuDtDmugng%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D142.75052%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192",,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,https://www.documentcloud.org/documents/23743635-sowpr20048364ver12,,,,,,,,,,,,,,,,,,,,
Tower007,Tower,DRT-DRS-07 POE Bridge,Remote Video Surveillance System (RVSS),Monopole Tower,Texas,Del Rio Sector,Texas,DRT,Del Rio Station,,Legacy Remote Viewing Site ,29.32991,-100.92446,"https://www.google.com/maps/place/29%C2%B019'47.7%22N+100%C2%B055'28.1%22W/@29.3299079,-100.9246926,67m/data=!3m1!1e3!4m5!3m4!1s0x0:0x895868741fca11c0!8m2!3d29.32991!4d-100.92446",,,,,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,https://www.documentcloud.org/documents/23743635-sowpr20048364ver12,,,,,,,,,,,,,,,,,,,,
Tower008,Tower,"DRT-DRS-08 POE Bridge
Down River2",Remote Video Surveillance System (RVSS),Monopole Tower,Texas,Del Rio Sector,Texas,DRT,Del Rio Station,,Legacy Remote Viewing Site ,29.32952,-100.9239,https://goo.gl/maps/FbWJUq1e77znj7Tv7,,,,,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,https://www.documentcloud.org/documents/23743635-sowpr20048364ver12,,,,,,,,,,,,,,,,,,,,
Tower009,Tower,Unknown,Uncategorized,,New Mexico,El Paso Sector,Texas,EPT,Alamagordo Station,,,32.52821,-106.028,https://goo.gl/maps/o6A2ZA5Kv6QZRcS99,,,"https://www.google.com/maps/@32.5280353,-106.0287551,3a,15y,78.34h,102.94t/data=!3m6!1e1!3m4!1sfaFq14Sp3AllhHcFCVmwLQ!2e0!7i16384!8i8192",,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,,,,,,,,,,,,,,,,,,,,,
Tower010,Tower,EPT-EPS-01 Monument One2,Remote Video Surveillance System (RVSS),Monopole Tower,Texas,El Paso Sector,Texas,EPT,El Paso Station,General Dynamics,,31.78232,-106.52797,https://goo.gl/maps/EAbgxEanY4c7PUTq9,,,"https://www.google.com/maps/@31.7823468,-106.5288318,3a,53.6y,86.59h,104.02t/data=!3m7!1e1!3m5!1sl1GFW6SQYFrDV-0RkUTVag!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dl1GFW6SQYFrDV-0RkUTVag%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D37.692017%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192",,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,,,,,,,,,,,,,,,,,,,,,
