"Agency","Award Date","Vendor","Contract","Contract-ID","Subject","Current Contract Value","Status","Completion Date","Procurement Method","Category","NGIP Codes and Categories","Vendor ID"
"Department of Public Safety","2004-04-01","PARKER COUNTY","405-12-20534","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20534' target='_blank'>405-12-20534</a>","Weatherford Building Lease 10647","$129,600","Active","03/31/2031","Competitive","Goods","971-45 Rental or Lease","""17560011094001"""
"Department of Public Safety","2004-04-12","DATAMAXX APPLIED TECHNOLOGIES, INC.","405-15-P001977","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P001977' target='_blank'>405-15-P001977</a>","Datamaxx","$13,072,639","Completed","03/19/2019","Competitive","Information","920-45 Information Technology","""15930816788*00"""
"Department of Public Safety","2004-07-01","TARANTINO PROPERTIES INC","405-12-20538","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20538' target='_blank'>405-12-20538</a>","Building Lease - Pasadena 20003","$529,907","Completed","06/30/2019","Competitive","Goods","971-45 Rental or Lease","""17421287735003"""
"Department of Public Safety","2004-07-01","TOTAL ENERGY INVESTMENTS LLC","405-13-31801","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-31801' target='_blank'>405-13-31801</a>","Building Lease - Pearland 20038","$1,214,695","Active","07/31/2027","Competitive","Goods","971-45 Rental or Lease","""14615121515000"""
"Department of Public Safety","2004-10-01","BLUMIN-HIGHPOINT LTD","405-12-20544","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20544' target='_blank'>405-12-20544</a>","Building Lease - Dallas","$830,811","Completed","05/31/2017","Competitive","Goods","971-45 Rental or Lease","""11418463565000"""
"Department of Public Safety","2005-02-01","EAST VANTAGE PARKWAY LLC","405-13-30360","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-30360' target='_blank'>405-13-30360</a>","Building Lease - Houston 20113","$649,950","Completed","02/29/2016","Competitive","Goods","971-45 Rental or Lease","""19008617003000"""
"Department of Public Safety","2005-02-15","830-850 CENTRAL PARKWAY LTD","405-12-20540","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20540' target='_blank'>405-12-20540</a>","Building Lease - Plano 20018","$850,288","Active","01/31/2030","Competitive","Goods","971-45 Rental or Lease","""12057082849000"""
"Department of Public Safety","2005-03-01","8800 BROADWAY PLAZA LLC","405-12-20545","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20545' target='_blank'>405-12-20545</a>","Building Lease - San Antonio 20105","$273,812","Completed","02/28/2018","Competitive","Goods","971-45 Rental or Lease","""14623786275000"""
"Department of Public Safety","2005-08-22","MORPHOTRUST","405-15-P001765","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P001765' target='_blank'>405-15-P001765</a>","Fingerprint Submissions","$18,087,284","Completed","08/31/2015","Competitive","Information","920-4  Information Technology","""10433205159003"""
"Department of Public Safety","2005-10-13","IDEMIA IDENTITY & SECURITY USA LLC","405-C6-1001","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-C6-1001' target='_blank'>405-C6-1001</a>","Card Production","$65,666,472","Completed","08/31/2025","Competitive","Goods","80 -10 Goods","""10433205159008"""
"Department of Public Safety","2006-10-25","ZOYA ENTERPRISES LTD","405-12-20547","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20547' target='_blank'>405-12-20547</a>","Building Lease - Houston 20127","$891,386","Completed","05/31/2018","Competitive","Goods","971-45 Rental or Lease","""17606585341001"""
"Department of Public Safety","2006-11-13","ZOYA ENTERPRISES LTD","405-12-20536","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20536' target='_blank'>405-12-20536</a>","Building Lease - Alvin 10846","$601,533","Completed","11/06/2017","Competitive","Goods","971-45 Rental or Lease","""17606585341001"""
"Department of Public Safety","2007-03-21","HUGHES NETWORK SYSTEMS LLC","405-C7-9013","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-C7-9013' target='_blank'>405-C7-9013</a>","Satellite Communication Services","$10,663,090","Completed","08/23/2017","Competitive","Goods","726-51 Goods","""15211065642000"""
"Department of Public Safety","2007-04-01","ABILENE TX I SGF LLC","405-12-20537","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20537' target='_blank'>405-12-20537</a>","Abilene Building Lease 11362","$538,051","Completed","01/31/2022","Competitive","Goods","971-45 Rental or Lease","""18340440058000"""
"Department of Public Safety","2008-01-01","GRIBBLE GATEWAY LLC","405-12-20548","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20548' target='_blank'>405-12-20548</a>","Building Lease - Universal City 20148","$3,975,907","Active","12/31/2030","Competitive","Goods","971-45 Rental or Lease","""12714584773000"""
"Department of Public Safety","2008-02-01","PACIFICA LA COSTA GREEN LP","405-12-20549","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20549' target='_blank'>405-12-20549</a>","Building Lease - Austin 20169","$5,468,704","Completed","11/30/2019","Competitive","Goods","971-45 Rental or Lease","""12031475242001"""
"Department of Public Safety","2008-04-02","TEXAS FACILITIES COMMISSION","405-00-804","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-00-804' target='_blank'>405-00-804</a>","Interagency Contract Crime Lab Expansions","$201,065,466","Completed","08/31/2023","Non-Comp, Interagency","Management","958-77 Management Services","""33033033037002"""
