Facility_Name,Facility_Type,Administrative_Control_Court,Court_Address
Adelanto Detention Facilities (East),Detention Facility,Adelanto Immigration Court,"10250 Rancho Rd., STE 201A, Adelanto, CA 92301"
Adelanto Detention Facilities (West),Detention Facility,Adelanto Immigration Court,"10250 Rancho Rd., STE 201A, Adelanto, CA 92301"
Adelanto Desert View,Detention Facility,Adelanto Immigration Court,"10250 Rancho Rd., STE 201A, Adelanto, CA 92301"
Victorville Federal Correctional Institute,Federal Correctional Facility,Adelanto Immigration Court,"10250 Rancho Rd., STE 201A, Adelanto, CA 92301"
Golden State Annex Correctional Facility,Correctional Facility,Adelanto Immigration Court,"10250 Rancho Rd., STE 201A, Adelanto, CA 92301"
California Correctional Center,Correctional Facility,Adelanto Immigration Court,"10250 Rancho Rd., STE 201A, Adelanto, CA 92301"
California City Correctional Center (Females),Correctional Facility,Adelanto Immigration Court,"10250 Rancho Rd., STE 201A, Adelanto, CA 92301"
"Mesa Verde Detention Facility, Bakersfield, CA",Detention Facility,Adelanto Immigration Court,"10250 Rancho Rd., STE 201A, Adelanto, CA 92301"
"Arlington, VA - DHS District Office",DHS Office,Annandale Immigration Court,"7619 Little River Turnpike, Suite 400, Annandale, VA 22003"
Florence Detention Center (DHS Detainees),Detention Facility,Annandale Immigration Court,"7619 Little River Turnpike, Suite 400, Annandale, VA 22003"
"Farmville Detention Center, Farmville, VA",Detention Facility (Televideo),Annandale Immigration Court,"7619 Little River Turnpike, Suite 400, Annandale, VA 22003"
"Caroline County Detention Facility, Bowling Green, VA",Detention Facility (Televideo),Annandale Immigration Court,"7619 Little River Turnpike, Suite 400, Annandale, VA 22003"
"Atlanta, GA - DHS District Office",DHS Office,Atlanta Immigration Court (Peachtree),"401 W. Peachtree Street, Suite 2600, Atlanta, GA 30308"
"Atlanta, GA - DHS District Office",DHS Office,Atlanta Immigration Court (Ted Turner),"180 Ted Turner Drive, SW, Suite 241, Atlanta, GA 30303"
"Georgia Department of Corrections Diagnostic Center, Jackson, GA",Correctional Facility,Atlanta Immigration Court (Ted Turner),"180 Ted Turner Drive, SW, Suite 241, Atlanta, GA 30303"
FCA Aliceville,Correctional Facility,Atlanta Immigration Court (Ted Turner),"180 Ted Turner Drive, SW, Suite 241, Atlanta, GA 30303"
Etowah County Sheriff's Office Detention Facility,Detention Facility,Atlanta Immigration Court (Ted Turner),"180 Ted Turner Drive, SW, Suite 241, Atlanta, GA 30303"
D. Ray James Detention Facility,Detention Facility,Atlanta Immigration Court (Ted Turner),"180 Ted Turner Drive, SW, Suite 241, Atlanta, GA 30303"
"GEO Detention Facility, Aurora, CO",Detention Facility,Aurora Immigration Court,"3130 N. Oakland Street, Aurora, CO 80010"
"The Villages, Inc., Topeka, Kansas",Juvenile Facility,Aurora Immigration Court,"3130 N. Oakland Street, Aurora, CO 80010"
Kansas Department of Corrections,Correctional Facility,Aurora Immigration Court,"3130 N. Oakland Street, Aurora, CO 80010"
"Cimarron Detention Facility, Cushing, OK",Detention Facility,Aurora Immigration Court,"3130 N. Oakland Street, Aurora, CO 80010"
"David L. Moss Correctional Center, Tulsa, OK",Correctional Facility,Aurora Immigration Court,"3130 N. Oakland Street, Aurora, CO 80010"
"Patrick Moore Detention Center, Okmulgee, OK",Detention Facility,Aurora Immigration Court,"3130 N. Oakland Street, Aurora, CO 80010"
"Shawnee County Detention Center, Shawnee, KS",Detention Facility,Aurora Immigration Court,"3130 N. Oakland Street, Aurora, CO 80010"
"Wichita, Kansas Detention Center",Detention Facility,Aurora Immigration Court,"3130 N. Oakland Street, Aurora, CO 80010"
"Chase County Jail, Cotton Falls, KS",Jail,Aurora Immigration Court,"3130 N. Oakland Street, Aurora, CO 80010"
"Rice City Jail, Lyons, KS",Jail,Aurora Immigration Court,"3130 N. Oakland Street, Aurora, CO 80010"
"Butler County Jail, El Dorado, KS",Jail,Aurora Immigration Court,"3130 N. Oakland Street, Aurora, CO 80010"
"Baltimore, MD - DHS District Office",DHS Office,Baltimore Immigration Court,"Fallon Federal Building, 31 Hopkins Plaza Room 440, Baltimore, MD 21201"
"Buffalo, NY - DHS District Office",DHS Office,Batavia Immigration Court,"4250 Federal Drive, Room F-108, Batavia, NY 14020"
Allegheny County Jail,Jail,Batavia Immigration Court,"4250 Federal Drive, Room F-108, Batavia, NY 14020"
"Niagara County Jail, NY",Jail,Batavia Immigration Court,"4250 Federal Drive, Room F-108, Batavia, NY 14020"
"Boston, MA - DHS District Office (Non-Detained Only)",DHS Office,Boston Immigration Court,"John F. Kennedy Federal Building, 15 New Sudbury Street Room 320, Boston, MA 02203"
"Buffalo, NY - DHS District Office",DHS Office,Buffalo Immigration Court,"130 Delaware Avenue Suite 300, Buffalo, NY 14202"
North Carolina DHS Sub-Office,DHS Office,Charlotte Immigration Court,"5701 Executive Center Drive Suite 400, Charlotte, NC 28212"
South Carolina DHS Sub-Office,DHS Office,Charlotte Immigration Court,"5701 Executive Center Drive Suite 400, Charlotte, NC 28212"
"Boston, MA - DHS District Office",DHS Office,Chelmsford Immigration Court,"150 Apollo Drive, Suite 100, Chelmsford, MA 01824"
Massachusetts Department of Corrections,Correctional Facility,Chelmsford Immigration Court,"150 Apollo Drive, Suite 100, Chelmsford, MA 01824"
New Hampshire Department of Corrections,Correctional Facility,Chelmsford Immigration Court,"150 Apollo Drive, Suite 100, Chelmsford, MA 01824"
"Plymouth County Correctional Facility, Plymouth, MA",Correctional Facility,Chelmsford Immigration Court,"150 Apollo Drive, Suite 100, Chelmsford, MA 01824"
"Wyatt Detention Center, RI",Detention Facility,Chelmsford Immigration Court,"150 Apollo Drive, Suite 100, Chelmsford, MA 01824"
"Strafford County House of Corrections, NH",Correctional Facility,Chelmsford Immigration Court,"150 Apollo Drive, Suite 100, Chelmsford, MA 01824"
"Cumberland County Jail, ME",Jail,Chelmsford Immigration Court,"150 Apollo Drive, Suite 100, Chelmsford, MA 01824"
"Two Bridges Regional Jail, ME",Jail,Chelmsford Immigration Court,"150 Apollo Drive, Suite 100, Chelmsford, MA 01824"
