Court,Judge_Name,Initials,WebEx_Link,Access_Code
Conroe Immigration Court,ACIJ Daniel P. Kinnicutt,DKT,https://eoir.webex.com/meet/ACIJ.Kinnicutt,199 281 4695
Conroe Immigration Court,Chris Brisack,CBA,https://eoir.webex.com/meet/IJ.Brisack,199 691 7117
Conroe Immigration Court,Andrew Caborn,AJC,https://eoir.webex.com/meet/IJ.Caborn,199 544 4829
Conroe Immigration Court,Andrea Cole,ADC,https://eoir.webex.com/meet/IJ.Andrea.Cole,2762 740 7101
Conroe Immigration Court,Timothy M. Cole,TMC,https://eoir.webex.com/meet/IJ.TimothyCole,199 855 5150
Conroe Immigration Court,Holly D'Andrea,HDA,https://eoir.webex.com/meet/IJ.DAndrea,199 765 0042
Conroe Immigration Court,Mark Evans,MES,https://eoir.webex.com/meet/IJ.Mark.Evans,199 590 2202
Conroe Immigration Court,John McPhail,JNM,https://eoir.webex.com/meet/IJ.McPhail,199 769 2794
Conroe Immigration Court,Robert Powell,RPL,https://eoir.webex.com/meet/IJ.Powell,199 002 3615
Conroe Immigration Court,Billy Sapp,BSP,https://eoir.webex.com/meet/IJ.Sapp,199 401 0535
Dallas Immigration Court,ACIJ Tara Naselow-Nahas,TNN,https://eoir.webex.com/meet/ACIJ.Naselow-Nahas,199 848 2215
Dallas Immigration Court,Attila Bogdan,ATB,https://eoir.webex.com/meet/IJ.Attila.Bogdan,2822 018 6602
Dallas Immigration Court,Xiomara Davis-Gumbs,XDD,https://eoir.webex.com/meet/IJ.Davis-Gumbs,199 726 1847
Dallas Immigration Court,Charissa Dvorak,CDK,https://eoir.webex.com/meet/IJ.Dvorak,199 564 9947
Dallas Immigration Court,Cait Irwin,CTI,https://eoir.webex.com/meet/IJ.Cait.Irwin,2825 113 2647
Dallas Immigration Court,Kyle Mitchell,KYM,https://eoir.webex.com/meet/IJ.Kyle.Mitchell,2821 508 6834
Dallas Immigration Court,James Nugent,JN,https://eoir.webex.com/meet/IJ.Nugent,199 318 1880
Dallas Immigration Court,Richard Ozmun,RRO,https://eoir.webex.com/meet/IJ.Ozmun,199 764 8875
Dallas Immigration Court,Deitrich Sims,DSH,https://eoir.webex.com/meet/IJ.Sims,199 190 0455
Dallas Immigration Court,Christopher Thielemann,CTN,https://eoir.webex.com/meet/IJ.Thielemann,199 137 2899
Dallas Immigration Court,Jennifer Winfield,JNW,https://eoir.webex.com/meet/IJ.Winfield,2761 861 6425
El Paso Immigration Court,ACIJ Nathan Herbert,NHB,https://eoir.webex.com/meet/IJ.Herbert,199 450 6867
El Paso Immigration Court,Janette Allen,JAN,https://eoir.webex.com/meet/IJ.Allen,199-021-9476
El Paso Immigration Court,Judith Bonilla,JFB,https://eoir.webex.com/meet/IJ.Bonilla,199 320 8764
El Paso Immigration Court,Lorely Fernandez,LFZ,https://eoir.webex.com/meet/IJ.Fernandez,199 274 1656
El Paso Immigration Court,Daniel J. Gallegos,DLG,https://eoir.webex.com/meet/IJ.Gallegos,2820 224 3552
El Paso Immigration Court,Steven Meredith,STM,https://eoir.webex.com/meet/IJ.Steven.Meredith,2818 580 8738
El Paso Immigration Court,James Miller Jr.,JMJ,https://eoir.webex.com/meet/IJ.James.Miller,199 465 3448
El Paso Immigration Court,Danny Razo,DYR,https://eoir.webex.com/meet/IJ.Danny.Razo,2760-110-0099
El Paso SPC Immigration Court,ACIJ Nathan Herbert,NHB,https://eoir.webex.com/meet/IJ.Herbert,199 450 6867
El Paso SPC Immigration Court,Michael Pleters,MP1,https://eoir.webex.com/meet/IJ.Pleters,199 696 3319
El Paso SPC Immigration Court,Jessica Miles,JKM,https://eoir.webex.com/meet/IJ.Jessica.Miles,2760 527 9112
El Paso SPC Immigration Court,Stephen Ruhle,SMR,https://eoir.webex.com/meet/IJ.Ruhle,199 384 3554
El Paso SPC Immigration Court,Dean Tuckman,DST,https://eoir.webex.com/meet/IJ.Tuckman,199 819 2307
Fort Worth IAC Immigration Court,ACIJ Tara Naselow-Nahas,TNN,https://eoir.webex.com/meet/ACIJ.Naselow-Nahas,199 848 2215
Fort Worth IAC Immigration Court,Carol Bell,CLB,https://eoir.webex.com/meet/IJ.Bell,199 828 8359
Fort Worth IAC Immigration Court,Robert Boudreau,RBB,https://eoir.webex.com/meet/IJ.Robert.Boudreau,2829 375 1641
Fort Worth IAC Immigration Court,D'Anna H. Freeman,DHF,https://eoir.webex.com/meet/IJ.Freeman,199 643 9100
Fort Worth IAC Immigration Court,Donald Eller,DER,https://eoir.webex.com/meet/IJ.Eller,199 650 1594
Fort Worth IAC Immigration Court,Jacob Bashore,JBE,https://eoir.webex.com/meet/IJ.Bashore,199 081 0171
Fort Worth IAC Immigration Court,Charles Dishman,CLD,https://eoir.webex.com/meet/IJ.Charles.Dishman,2821 723 6587
Fort Worth IAC Immigration Court,Randall Fluke,RLF,https://eoir.webex.com/meet/IJ.Fluke,199 564 0477
